Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/3_source_receptors/SR_PM25_Y_20170322_potencyBased.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;5;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;5;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;5;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;6;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;6;NMVOC;2.496244e-02;1.708045e-01;4.142055e-07;1.461463e+01;1.248122e-02;3.013293e+04
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;6;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;6;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;6;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;7;NH3;1.252519e-01;8.570307e-01;3.040868e-05;1.461463e+01;6.262594e-02;2.059476e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;7;NMVOC;1.450482e-02;9.924865e-02;3.612964e-07;1.461463e+01;7.252412e-03;2.007330e+04
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;7;NOx;6.152456e-01;4.209792e+00;4.992204e-06;1.461463e+01;3.076228e-01;6.162063e+04
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;7;PPM;2.390627e-01;1.635777e+00;3.684993e-05;1.461463e+01;1.195314e-01;3.243733e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;7;SOx;1.037654e-03;7.100106e-03;5.177125e-06;1.461463e+01;5.188272e-04;1.002153e+02
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;8;NH3;7.492136e-04;5.126463e-03;3.322238e-05;1.461463e+01;3.746068e-04;1.127574e+01
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;8;NMVOC;4.220129e-03;2.887606e-02;3.550517e-07;1.461463e+01;2.110065e-03;5.942978e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;8;NOx;3.266518e-01;2.235101e+00;5.635006e-06;1.461463e+01;1.633259e-01;2.898415e+04
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;8;PPM;1.172537e-01;8.023032e-01;4.002445e-05;1.461463e+01;5.862683e-02;1.464776e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;8;SOx;1.095488e-02;7.495830e-02;4.067232e-06;1.461463e+01;5.477440e-03;1.346724e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;9;NH3;3.344802e-01;2.288666e+00;3.346177e-05;1.461463e+01;1.672401e-01;4.997945e+03
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;9;NMVOC;2.188293e-04;1.497330e-03;1.751313e-07;1.461463e+01;1.094147e-04;6.247580e+02
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;9;NOx;2.048976e-04;1.402003e-03;6.460103e-06;1.461463e+01;1.024488e-04;1.585869e+01
sherpa_chimere;PM25;'s-Gravenhage;'s-Gravenhage_National;9;PPM;6.335255e-02;4.334871e-01;2.638594e-05;1.461463e+01;3.167627e-02;1.200498e+03
