Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20171207_SRR_noFlatWeight_120cells/3_source_receptors/SR_PM25_Y.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;4;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;4;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;4;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;5;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;5;NMVOC;4.116800e-03;2.816903e-02;8.695380e-06;1.461463e+01;2.058400e-03;2.367234e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;5;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;5;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;5;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;6;NH3;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;6;NMVOC;1.820726e-02;1.245824e-01;1.031503e-05;1.461463e+01;9.103632e-03;8.825597e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;6;NOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;6;PPM;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;6;SOx;0.000000e+00;0.000000e+00;nan;1.461463e+01;0.000000e+00;nan
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;7;NH3;1.785916e-02;1.222006e-01;2.192025e-04;1.461463e+01;8.929582e-03;4.073668e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;7;NMVOC;8.479057e-03;5.801759e-02;1.064665e-05;1.461463e+01;4.239529e-03;3.982031e+02
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;7;NOx;1.404824e-01;9.612448e-01;5.800344e-05;1.461463e+01;7.024120e-02;1.210983e+03
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;7;PPM;2.192900e-01;1.500482e+00;1.721335e-03;1.461463e+01;1.096450e-01;6.369766e+01
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;7;SOx;1.275366e-04;8.726638e-04;3.235525e-05;1.461463e+01;6.376830e-05;1.970879e+00
sherpa_chimere_noFW_120cls;PM25;'s-Gravenhage;'s-Gravenhage_City;8;NH3;7.979335e-05;5.459826e-04;2.000571e-04;1.461463e+01;3.989668e-05;1.994265e-01
